8354	200180491	20206731	18300178832	100051059379	6000	201709	0610000200180491170911000000600065	20171114	20181114	6	11295
8355	3492849	4408191	16801181594	100012794672	13800	201607	0610000003492849160710000001380047	20160701	20161231	1	11625
8356	3492849	4408191	16801181594	100041157421	2300	201701	0610000003492849170111000000230027	20170101	20170228	1	11625
8357	216490108	5136511	16923176014	194048986	60000	201602	0610000216490108160211000006000008	20160219	20170319	1	11628
8358	3295800	5136631	16802331213	100012488097	13800	201607	0610000003295800160710000001380002	20160701	20161231	1	11626
8359	3295800	5136631	16802331213	100050305368	13800	201707	0610000003295800170710000001380037	20170701	20171231	1	11626
8360	3295800	5136631	16802331213	100038199666	13800	201701	0610000003295800170110000001380064	20170101	20170630	1	11626
8361	200211388	20046711	17300019863	100051454290	13800	201707	0610000200211388170710000001380024	20170701	20171231	1	11289
8362	203241326	20403901	17301055521	100050064907	13800	201707	0610000203241326170710000001380004	20170701	20171231	1	11289
8363	201205733	20205971	18300759913	100049813922	6900	201707	0610000201205733170711000000690094	20170701	20170930	1	11295
8364	201205733	20205971	18300759913	100035621877	13800	201701	0610000201205733170110000001380035	20170101	20170630	1	11295
8365	201406310	20124441	17600053474	100049939084	13800	201707	0610000201406310170710000001380050	20170701	20171231	1	11167
8366	203538576	20206521	17600919807	100051570181	14400	201710	0610000203538576171011000001440077	20171212	20181212	6	11167
8367	202762339	20484531	17800152489	100049640299	6900	201707	0610000202762339170711000000690082	20170701	20170930	1	11169
8368	202762339	20484531	17800152489	100038729308	11500	201701	0610000202762339170111000001150083	20170201	20170630	1	11169
8369	201377488	21128411	17600025805	100049975358	13800	201707	0610000201377488170710000001380043	20170701	20171231	1	11167

8370	7370518	5167521	16807349520	100051702699	3500	201710	0610000007370518171030000000350020	20171001	20171031	1	11631

8371	6916464	5167521	16807376549	100051771291	3500	201710	0610000006916464171030000000350044	20171001	20171031	1	11631

8372	200069630	20656241	18300066473	100048145160	13800	201707	0610000200069630170710000001380084	20170701	20171231	1	11295

8373	200440033	20337931	17300224585	100051489073	13800	201707	0610000200440033170710000001380055	20170701	20171231	1	11289

